theta,branch,omega_re,omega_im,tau_re,tau_im,tau_radius,phi_abs,local_phi_sum
0.0,1,1.5459862385321101,0.0,0.20013769980450058,0.0,1.0,0.3992377898107434,1.0
0.0,2,1.5459862385321101,0.0,1.3458485387276096,0.0,2.2465750728073166,0.6007622101892566,1.0
0.006135923151542565,1,1.5459571357780673,0.007234292440132702,0.20012148771616137,0.002888148465367666,1.0029521229703482,0.39922744265163823,1.0000033616567021
0.006135923151542565,2,1.5459571357780673,0.007234292440132702,1.3458356480619058,0.004346143974765036,2.2465819976693338,0.6007759190050639,1.0000033616567021
0.01227184630308513,1,1.5458698286116408,0.014468312513243872,0.20007285555404358,0.005775861452847118,1.0059124247838416,0.3991963980381602,1.0000134440765387
0.01227184630308513,2,1.5458698286116408,0.014468312513243872,1.3457969730575972,0.008692451060396754,2.246602769935712,0.6008170460383785,1.0000134440765387
0.018407769454627694,1,1.5457243203198963,0.021701787862566442,0.19999181562829177,0.008662703573566565,1.0088803889174238,0.39914464656749227,1.0000302396039293
0.018407769454627694,2,1.5457243203198963,0.021701787862566442,1.3457325046916044,0.013039084288999876,2.246637382644069,0.6008855930364371,1.0000302396039293
0.02454369260617026,1,1.5455206163811386,0.028934446151841885,0.19987838846062483,0.011548239616969316,1.0118554930880084,0.39907217258718897,1.0000537354636883
0.02454369260617026,2,1.5455206163811386,0.028934446151841885,1.3456422279205138,0.017386206534872568,2.2466858241792194,0.6009815628764994,1.0000537354636883
0.030679615757712823,1,1.545258724464706,0.03616601507557353,0.19973260279152974,0.01443203464067674,1.014837209487934,0.3989789542236035,1.0000839137372544
0.030679615757712823,2,1.545258724464706,0.03616601507557353,1.3455261216731764,0.021733980434896785,2.246748078256371,0.6011049595136508,1.0000839137372544
0.03681553890925539,1,1.5449386544306811,0.04339622236927869,0.19955449559028712,0.01731365406119706,1.017825005027596,0.3988649634217922,1.0001207513295272
0.03681553890925539,2,1.5449386544306811,0.04339622236927869,1.345384158840394,0.026082568308081627,2.24682412389763,0.601255787907735,1.0001207513295272
0.04295146206079795,1,1.5445604183295198,0.05062479581973929,0.1993441120677827,0.020192663745760855,1.0208183415852163,0.3987301659970005,1.0001642199264265
0.04295146206079795,2,1.5445604183295198,0.05062479581973929,1.345216306261737,0.03043213207397843,2.246913935401848,0.6014340539294261,1.0001642199264265
0.04908738521234052,1,1.5441240304015973,0.05785146327525053,0.199101505692045,0.023068630105563193,1.023816676263719,0.39857452169786767,1.0002142859433238
0.04908738521234052,2,1.5441240304015973,0.05785146327525053,1.3450225247095524,0.03478283316968733,2.2470174823078493,0.6016397642454563,1.0002142859433238
0.05522330836388308,1,1.5436295070766728,0.06507595265586723,0.1988267382064371,0.02594112019069105,1.0268194616546564,0.3983979842815121,1.0002709104645309
0.05522330836388308,2,1.5436295070766728,0.06507595265586723,1.3448027688702358,0.039134832465176184,2.247134729351096,0.6018729261830187,1.0002709104645309
0.06135923151542565,1,1.5430768669732697,0.07229799196364751,0.1985198796504159,0.028809701787013243,1.0298261461091391,0.3982005016006922,1.0003340491740633
0.06135923151542565,2,1.5430768669732697,0.07229799196364751,1.3445569873228538,0.043488290176634276,2.247265636413843,0.6021335475733711,1.0003340491740633
0.06749515466696822,1,1.5424661308979757,0.07951730929289337,0.1981810083827591,0.031673943515308244,1.0328361740157082,0.39798201570326336,1.0004036522779414
0.06749515466696822,2,1.5424661308979757,0.07951730929289337,1.3442851225152166,0.04784336577758513,2.2474101584688633,0.6024216365746781,1.0004036522779414
0.07363107781851078,1,1.5417973218446586,0.08673363284038771,0.19781021110714586,0.034533414932903087,1.035848986085087,0.3977424629441785,1.0004796644183152
0.07363107781851078,2,1.5417973218446586,0.08673363284038771,1.3439871107375128,0.052200217907484615,2.2475682455168147,0.6027372014741368,1.0004796644183152
0.07976700097005335,1,1.5410704649936016,0.09394669091562764,0.1974075828999632,0.03738768663809415,1.0388640196417491,0.39748177411030816,1.0005620245797537
0.07976700097005335,2,1.5410704649936016,0.09394669091562764,1.3436628820936383,0.05655900427753349,2.2477398425173534,0.6030802504694455,1.0005620245797537
0.0859029241215959,1,1.540285587710554,0.1011562119510535,0.19697322724019592,0.04023633037761759,1.041880708922228,0.3971998745583801,1.000650665988068
0.0859029241215959,2,1.540285587710554,0.1011562119510535,1.343312360470358,0.06091988157343591,2.2479248893140857,0.603450791429688,1.000650665988068
0.09203884727313848,1,1.539442719545702,0.10836192451227311,0.19650725604124242,0.04307891915743391,1.044898485380096,0.3968966843663614,1.0007455160020886
0.09203884727313848,2,1.539442719545702,0.10836192451227311,1.3429354635044597,0.0652830053548392,2.248123320553488,0.6038488316357272,1.0007455160020886
0.09817477042468103,1,1.5385418922325558,0.11556355730828126,0.1960097896844853,0.04591502735708745,1.0479167779975402,0.3965721184986328,1.000846495998851
0.09817477042468103,2,1.5385418922325558,0.11556355730828126,1.3425321025480705,0.0696485299511938,2.24833506559791,0.6042743775002182,1.000846495998851
0.1043106935762236,1,1.5375831396867543,0.12276083920167352,0.1954809570544292,0.04874423084789691,1.0509350136034514,0.39622608698532175,1.0009535212527005
0.1043106935762236,2,1.5375831396867543,0.12276083920167352,1.3421021826323252,0.0740166083537766,2.2485600484328243,0.6047274342673788,1.0009535212527005
0.11044661672776616,1,1.5365664980047893,0.12995349921885455,0.19492089557520362,0.051566107115228695,1.0539526171979485,0.39585849511618393,1.0010665008088646
0.11044661672776616,2,1.5365664980047893,0.12995349921885455,1.3416456024295855,0.07838739210362586,2.2487981875684517,0.6052080056926807,1.0010665008088646
0.11658253987930874,1,1.535492005462645,0.13714126656024,0.19432975124821222,0.05438023538509861,1.0569690122832571,0.39546924364943914,1.0011853373520943
0.11658253987930874,2,1.535492005462645,0.13714126656024,1.3411622542144328,0.0827610311751414,2.249049395935965,0.6057160937026551,1.0011853373520943
0.1227184630308513,1,1.534359702514359,0.14432387061045204,0.19370767869069516,0.05718619675534206,1.0599836212008558,0.3950582290359836,1.001309927071027
0.1227184630308513,2,1.534359702514359,0.14432387061045204,1.3406520238236637,0.08713767385510997,2.2493135807784332,0.6062516980350434,1.001309927071027
0.12885438618239387,1,1.5331696317904966,0.15150104094850775,0.1930548411749534,0.059983574331585215,1.062995865474806,0.3946253436594135,1.0014401595189752
0.12885438618239387,2,1.5331696317904966,0.15150104094850775,1.3401147906155433,0.09151746661692253,2.2495906435367248,0.6068148158595618,1.0014401595189752
0.13499030933393644,1,1.5319218380965485,0.1586725073580005,0.19237141066796837,0.06277195336824253,1.0660051661611771,0.3941704760923075,1.0015759174718997
0.13499030933393644,2,1.5319218380965485,0.1586725073580005,1.33955042742858,0.09590055398975797,2.2498804797305865,0.6074054413795921,1.0015759174718997
0.14112623248547898,1,1.5306163684112417,0.16583799983727326,0.19165756787113386,0.06555092141475696,1.0690109442034776,0.3936935113692204,1.001717076784379
0.14112623248547898,2,1.5306163684112417,0.16583799983727326,1.3389588005401079,0.10028707842251632,2.250182978835136,0.6080235654151587,1.001717076784379
0.14726215563702155,1,1.529253271884772,0.17299724860958418,0.19091350225979847,0.0683200684672902,1.072012620794,0.39319433127684783,1.0018635062444554
0.14726215563702155,2,1.529253271884772,0.17299724860958418,1.3383397696249735,0.10467718014229399,2.250498024153026,0.6086691749676075,1.0018635062444554
0.15339807878856412,1,1.5278325998369535,0.1801499841332634,0.19013941212230234,0.07107898712605919,1.075009617740985,0.3926728146618228,1.0020150674282788
0.15339807878856412,2,1.5278325998369535,0.1801499841332634,1.3376931877146512,0.10907099700720423,2.250825492682561,0.6093422527664561,1.0020150674282788
0.1595340019401067,1,1.5263544057552854,0.18729593711186118,0.18933550459817208,0.0738272727585043,1.0780013578415062,0.3921288377566,1.0021716145555533
0.1595340019401067,2,1.5263544057552854,0.18729593711186118,1.3370189011571134,0.11346866435335688,2.251165254982056,0.6100427767989532,1.0021716145555533
0.16566992509164924,1,1.5248187452929398,0.19443483850428678,0.18850199571512205,0.07656452366846153,1.080987265259976,0.3915622745238816,1.0023329943468304
0.16566992509164924,2,1.5248187452929398,0.19443483850428678,1.3363167495778177,0.11787031483582525,2.2515171750307696,0.610770719822949,1.0023329943468304
0.1718058482431918,1,1.5232256762666647,0.20156641953493773,0.18763911042449236,0.07929034127149714,1.0839667659121588,0.39097299702002225,1.0024990458837773
0.1718058482431918,2,1.5232256762666647,0.20156641953493773,1.3355865658421724,0.12227607826344057,2.251881110086739,0.611526048863755,1.0024990458837773
0.17794177139473438,1,1.521575258654609,0.20869041170381897,0.186747082634736,0.08200433027654848,1.0869392878545896,0.3903608757778403,1.002669600473593
0.17794177139473438,2,1.521575258654609,0.20869041170381897,1.334828176019873,0.12668608142727047,2.2522569105418877,0.6123087246957529,1.002669600473593
0.18407769454627695,1,1.5198675545940628,0.21580654679665184,0.18582615524255097,0.08470609887399774,1.0899042616792654,0.38972578020923704,1.0028444815188293
0.18407769454627695,2,1.5198675545940628,0.21580654679665184,1.334041399351512,0.13110044792265413,2.2526444197748,0.6131187013095922,1.0028444815188293
