N,M,m,name,error,source,qstar_power,error_over_qstar_power
40,40,0,alpha^5,8.649354351633234e-19,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.04821579875407408,1.793883866935294e-17
50,50,0,alpha^5,8.262578964353456e-26,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.022593666150434025,3.657033307184072e-24
60,60,0,alpha^5,1.3296192467835614e-30,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.010587271460978024,1.2558658306667568e-28
70,70,0,alpha^5,2.0789531933114426e-36,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.004961138942308682,4.190475649819223e-34
80,80,0,alpha^5,1.8385140502197338e-42,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.002324763249493372,7.908392609958864e-40
90,90,0,alpha^5,1.1194651916545716e-48,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.0010893716602260626,1.0276246689052515e-45
100,100,0,alpha^5,4.679175101643343e-55,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.0005104737501172682,9.166338328990322e-52
10,10,0,mu^1,0.0070093495653012,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.4685946667745483,0.014958235896170707
20,20,0,mu^1,1.047091589880018e-11,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.21958096172954997,4.7685900527646077e-11
30,30,0,mu^1,4.596754020824753e-23,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.1028944675916933,4.467445265439957e-22
40,40,0,mu^1,4.436662140492603e-36,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.04821579875407408,9.201677157982828e-35
50,50,0,mu^1,2.720234974278475e-50,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.022593666150434025,1.203981220297096e-48
60,60,0,mu^1,1.9209252058873336e-65,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.010587271460978024,1.8143722988187966e-63
70,70,0,mu^1,2.294289236721426e-81,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.004961138942308682,4.62452123071113e-79
80,80,0,mu^1,6.072394487439015e-98,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.002324763249493372,2.6120485553797154e-95
90,90,0,mu^1,4.334516926426964e-115,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.0010893716602260626,3.978914712658745e-112
100,100,0,mu^1,9.71563378538771e-133,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.0005104737501172682,1.9032582543482e-129
10,10,0,mu^2,0.1181894002093551,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.4685946667745483,0.252220967478955
20,20,0,mu^2,0.000751792165327,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.21958096172954997,0.0034237584142333593
30,30,0,mu^2,3.111510817280244e-11,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.1028944675916933,3.023982620355613e-10
40,40,0,mu^2,1.610009661412074e-20,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.04821579875407408,3.339174509218378e-19
50,50,0,mu^2,3.629598786115311e-31,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.022593666150434025,1.606467388669274e-29
60,60,0,mu^2,7.419148322078759e-43,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.010587271460978024,7.007611308941915e-41
70,70,0,mu^2,2.178794720454083e-55,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.004961138942308682,4.391722839836802e-53
80,80,0,mu^2,1.2575219740702143e-68,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.002324763249493372,5.409247476465667e-66
90,90,0,mu^2,1.788900089231883e-82,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.0010893716602260626,1.642139367624688e-79
100,100,0,mu^2,7.443861860733791e-97,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv,0.0005104737501172682,1.458226178921787e-93
