N,M,map_name,eig_index,eig,eig_re,eig_im,eig_abs,gram_error,gram_error_float
12,24,blaschke_mu_0p3,0,1.0,1.0,-9.610799876838137e-182,1.0,6.19825384567315268700921590272202461005515747191935318378568267994261020857830270418843983e-179,6.198253845673152e-179
12,24,blaschke_mu_0p3,1,0.422501329310628552595274480150422323200239755211662659745164718328546521187084618304274355,0.42250132931062856,-2.3700435815000412e-181,0.42250132931062856,6.19825384567315268700921590272202461005515747191935318378568267994261020857830270418843983e-179,6.198253845673152e-179
12,24,blaschke_mu_0p3,2,0.299831564690684013941428932070150874896434061694021976855794010272142090169702422231487684,0.299831564690684,-4.715635353847909e-182,0.299831564690684,6.19825384567315268700921590272202461005515747191935318378568267994261020857830270418843983e-179,6.198253845673152e-179
12,24,blaschke_mu_0p3,3,(0.121895480353753244341161439370410717668438068362028176246271434820739776430868985750695852 - 0.0663234865185317524152279008399275759679959325051891919951457563086704219470897472500056102j),0.12189548035375325,-0.06632348651853175,0.1387707209559931,6.19825384567315268700921590272202461005515747191935318378568267994261020857830270418843983e-179,6.198253845673152e-179
12,24,blaschke_mu_0p3,4,0.190938082870350042677970436831671333545169397460907012025581911060524268547536483339217249,0.19093808287035005,1.486085806212198e-181,0.19093808287035005,6.19825384567315268700921590272202461005515747191935318378568267994261020857830270418843983e-179,6.198253845673152e-179
12,24,blaschke_mu_0p3,5,(0.121895480353753244341161439370410717668438068362028176246271434820739776430868985750695852 + 0.0663234865185317524152279008399275759679959325051891919951457563086704219470897472500056102j),0.12189548035375325,0.06632348651853175,0.1387707209559931,6.19825384567315268700921590272202461005515747191935318378568267994261020857830270418843983e-179,6.198253845673152e-179
12,24,blaschke_mu_0p3,6,0.650000001989392334299905788088437627678611784827736724575413309779444483361889929123972928,0.6500000019893923,2.783492687596123e-182,0.6500000019893923,6.19825384567315268700921590272202461005515747191935318378568267994261020857830270418843983e-179,6.198253845673152e-179
12,24,blaschke_mu_0p3,7,0.300085210464546866629936139911944063858586557506216066895326309817238383424728494091966117,0.3000852104645469,4.374040516639323e-182,0.3000852104645469,6.19825384567315268700921590272202461005515747191935318378568267994261020857830270418843983e-179,6.198253845673152e-179
12,24,blaschke_mu_0p3,8,0.2743504006513609963749388885001969000442286643496384630983031748677921947404581553422209,0.274350400651361,-9.520393310588485e-182,0.274350400651361,6.19825384567315268700921590272202461005515747191935318378568267994261020857830270418843983e-179,6.198253845673152e-179
12,24,blaschke_mu_0p3,9,(0.097470059394965037498670283052854304576405547987326006956697078362440640271992346104820957 - 0.0647895647534387653518122996141363071111351953437785612765586370519518502099677824612483454j),0.09747005939496503,-0.06478956475343876,0.1170388831944241,6.19825384567315268700921590272202461005515747191935318378568267994261020857830270418843983e-179,6.198253845673152e-179
12,24,blaschke_mu_0p3,10,0.146351649228128211854844541737801897477451785990154070083762977174488910438657463146509639,0.1463516492281282,5.2191151838556594e-183,0.1463516492281282,6.19825384567315268700921590272202461005515747191935318378568267994261020857830270418843983e-179,6.198253845673152e-179
12,24,blaschke_mu_0p3,11,(0.097470059394965037498670283052854304576405547987326006956697078362440640271992346104820957 + 0.0647895647534387653518122996141363071111351953437785612765586370519518502099677824612483454j),0.09747005939496503,0.06478956475343876,0.1170388831944241,6.19825384567315268700921590272202461005515747191935318378568267994261020857830270418843983e-179,6.198253845673152e-179
