real,imag
1.0000000000000007,0.0
0.6500000000725907,1.1102225531322074e-16
0.4224899272425887,-8.456730623272632e-18
0.30987358704749246,1.6653345369377348e-16
0.27439419172456053,-0.05622689508234538
0.2743941917245607,0.05622689508234561
0.30001200863533617,-9.813936048291214e-17
0.23004474128897684,-0.1205031763087489
0.23004474128897745,0.1205031763087493
0.1753396445985982,0.16906597033239762
0.17533964459859824,-0.16906597033239767
0.11245321451857097,0.20031944332055696
0.112453214518572,-0.20031944332055568
0.04569385384300132,0.2126950443405821
0.04569385384300106,-0.2126950443405868
-0.019813966565968153,0.2057576978203097
-0.07871293307459888,0.18064769479825135
-0.019813966565967074,-0.20575769782030923
-0.07871293307459892,-0.1806476947982513
-0.12616790112081497,0.14019037466588657
-0.126167901120815,-0.14019037466588619
0.2745622426141815,5.921654536648562e-17
-0.15869971092548063,0.0885275146557166
-0.15869971092548008,-0.08852751465571655
-0.17484082962046602,-0.030247341422386137
-0.17484082962046563,0.03024734142238604
0.17787138101574995,8.326672684688674e-17
0.16199617050818405,0.0544848208934175
0.16199617050818516,-0.054484820893417885
0.12876518103901474,0.0944814608179861
0.12876518103901563,-0.09448146081798665
0.08794386023180993,0.12087580801266612
0.08794386023181024,-0.12087580801266583
0.04387687928508245,0.1335978349729051
0.04387687928508228,-0.13359783497290537
0.0002914599122039524,0.1329609583988624
0.00029145991220415226,-0.13296095839886188
-0.039524522121328516,0.12005430792626913
-0.039524522121328155,-0.12005430792626891
-0.07262198952984826,0.09631883569560729
-0.07262198952984836,-0.0963188356956069
-0.09577233226520464,0.06358967306766886
-0.0957723322652051,-0.06358967306766869
-0.10560249606592205,0.022633819907643616
-0.10560249606592192,-0.02263381990764368
-0.10513824645445426,8.85630220076252e-17
-0.10568391714725085,1.752971584369664e-16
-0.09946688045057686,0.03163669644241957
-0.0963285348456048,0.03241091178927585
-0.09946688045057563,-0.031636696442419475
-0.0963285348456045,-0.03241091178927609
-0.07819222861784106,0.059973479299324506
-0.0781922286178411,-0.05997347929932532
-0.07433909689178884,0.06120628711039848
-0.07433909689178833,-0.06120628711039871
-0.048441743269861996,0.08162988428042056
-0.04844174326986213,-0.08162988428042024
-0.043885034242965026,0.08005829509958
-0.043885034242965255,-0.08005829509958076
-0.01334299028389872,0.09103368130800935
-0.013342990283898857,-0.09103368130800965
-0.009688032369102414,0.0859028621675701
-0.00968803236910248,-0.0859028621675701
0.022095717871762986,0.08683632248122122
0.02209571787176299,-0.08683632248122115
0.05308382373580385,0.07048849538465629
0.09072516350464495,0.014908207047870624
0.09072516350464493,-0.014908207047870946
0.05308382373580323,-0.07048849538465635
0.07659199788088486,0.04501035579833193
0.022872170475304664,0.07838531205508274
0.07659199788088529,-0.045010355798331535
0.022872170475304356,-0.07838531205508269
0.04881751021910368,0.05947436142586364
0.04881751021910414,-0.05947436142586382
0.06456347724849273,0.03270286517554078
0.06456347724849312,-0.0327028651755408
0.06666195622187158,-0.001364779762370141
0.06666195622187175,0.0013647797623701353
0.057284012993672084,0.023689245889073923
0.05728401299367205,-0.023689245889073705
0.040323896728706614,0.04388977523339047
0.04032389672870663,-0.043889775233390674
0.01714966621833055,0.05465285942844703
0.017149666218330785,-0.05465285942844731
-0.007773027035424601,-0.05433205050320473
0.017154461202412017,-0.05156446134975631
-0.007773027035424159,0.05433205050320482
0.03775850751193727,-0.04053146559321699
-0.006094226940300579,-0.052551770635146246
0.01715446120241178,0.051564461349756854
-0.006094226940300349,0.05255177063514617
0.03775850751193712,0.04053146559321661
-0.02966890212646722,0.04341089003045836
-0.029668902126467032,-0.04341089003045886
0.05145786878097868,-0.022026185156489114
0.05145786878097865,0.022026185156489176
