N,old_sampled_global_tail,old_certified_global_tail,branchwise_ellipse_tail,branch_image_kernel_tail_sampled,branchwise_over_certified_global,kernel_over_certified_global,kernel_over_sampled_global
120,0.0013789891889530654,0.0014122615170760514,0.0013789891889530654,0.00021737834631064192,0.9764403917258376,0.15392216220739513,0.15763600472870748
240,1.5110388180247183e-07,1.5830084111962656e-07,1.5110388180247183e-07,2.380339579664756e-08,0.9545361902927854,0.1503680942456872,0.15753000857889393
360,1.6557332920869254e-11,1.7743991460635255e-11,1.6557332920869254e-11,2.606837542279886e-12,0.9331233593975412,0.14691381857701583,0.1574430830580308
480,1.8142834597119937e-15,1.9889296274627376e-15,1.8142834597119937e-15,2.855178771348461e-16,0.91219087626869,0.14355353411828808,0.1573722538264061
600,1.9880161182455174e-19,2.229397524099936e-19,1.9880161182455174e-19,3.1285857717151906e-20,0.8917279654054203,0.14033323971588602,0.15737225382640557
720,2.1783851168611572e-23,2.4989387516960003e-23,2.1783851168611572e-23,3.428173755423369e-24,0.8717240930305766,0.1371851852350006,0.157372253826405
