N,M,map_name,name,family,power,multiplicity,target,target_float,target_real_float,target_imag_float,target_abs_float,error,error_float,selected,gram_error,gram_error_float,m,is_reference_M,reference_error_at_max_M,excess_ratio_to_max_M,log10_excess_ratio_to_max_M
6,6,blaschke_mu_0p3,mu^3,mu,3,2,0.027,0.027,0.027,0.0,0.027,nan,,[],1.25336695376218174738792457662043183673620971457703840202933240212485322304787386353843815e-179,1.2533669537621818e-179,0,False,,,
6,6,blaschke_mu_0p3,alpha^9,alpha,9,1,0.020711912837890625,0.020711912837890624,0.020711912837890624,0.0,0.020711912837890624,nan,,[],1.25336695376218174738792457662043183673620971457703840202933240212485322304787386353843815e-179,1.2533669537621818e-179,0,False,,,
6,6,blaschke_mu_0p3,alpha^10,alpha,10,1,0.01346274334462890625,0.013462743344628906,0.013462743344628906,0.0,0.013462743344628906,nan,,[],1.25336695376218174738792457662043183673620971457703840202933240212485322304787386353843815e-179,1.2533669537621818e-179,0,False,,,
6,6,blaschke_mu_0p3,alpha^11,alpha,11,1,0.0087507831740087890625,0.00875078317400879,0.00875078317400879,0.0,0.00875078317400879,nan,,[],1.25336695376218174738792457662043183673620971457703840202933240212485322304787386353843815e-179,1.2533669537621818e-179,0,False,,,
6,6,blaschke_mu_0p3,mu^4,mu,4,2,0.0081,0.0081,0.0081,0.0,0.0081,nan,,[],1.25336695376218174738792457662043183673620971457703840202933240212485322304787386353843815e-179,1.2533669537621818e-179,0,False,,,
6,6,blaschke_mu_0p3,alpha^12,alpha,12,1,0.005688009063105712890625,0.005688009063105713,0.005688009063105713,0.0,0.005688009063105713,nan,,[],1.25336695376218174738792457662043183673620971457703840202933240212485322304787386353843815e-179,1.2533669537621818e-179,0,False,,,
6,6,blaschke_mu_0p3,alpha^13,alpha,13,1,0.00369720589101871337890625,0.0036972058910187135,0.0036972058910187135,0.0,0.0036972058910187135,nan,,[],1.25336695376218174738792457662043183673620971457703840202933240212485322304787386353843815e-179,1.2533669537621818e-179,0,False,,,
6,6,blaschke_mu_0p3,mu^5,mu,5,2,0.00243,0.00243,0.00243,0.0,0.00243,nan,,[],1.25336695376218174738792457662043183673620971457703840202933240212485322304787386353843815e-179,1.2533669537621818e-179,0,False,,,
6,6,blaschke_mu_0p3,alpha^14,alpha,14,1,0.0024031838291621636962890625,0.0024031838291621636,0.0024031838291621636,0.0,0.0024031838291621636,nan,,[],1.25336695376218174738792457662043183673620971457703840202933240212485322304787386353843815e-179,1.2533669537621818e-179,0,False,,,
6,6,blaschke_mu_0p3,alpha^15,alpha,15,1,0.001562069488955406402587890625,0.0015620694889554065,0.0015620694889554065,0.0,0.0015620694889554065,nan,,[],1.25336695376218174738792457662043183673620971457703840202933240212485322304787386353843815e-179,1.2533669537621818e-179,0,False,,,
6,6,blaschke_mu_0p3,alpha^16,alpha,16,1,0.00101534516782101416168212890625,0.0010153451678210142,0.0010153451678210142,0.0,0.0010153451678210142,nan,,[],1.25336695376218174738792457662043183673620971457703840202933240212485322304787386353843815e-179,1.2533669537621818e-179,0,False,,,
6,6,blaschke_mu_0p3,mu^6,mu,6,2,0.000729,0.000729,0.000729,0.0,0.000729,nan,,[],1.25336695376218174738792457662043183673620971457703840202933240212485322304787386353843815e-179,1.2533669537621818e-179,0,False,,,
6,6,blaschke_mu_0p3,alpha^17,alpha,17,1,0.0006599743590836592050933837890625,0.0006599743590836592,0.0006599743590836592,0.0,0.0006599743590836592,nan,,[],1.25336695376218174738792457662043183673620971457703840202933240212485322304787386353843815e-179,1.2533669537621818e-179,0,False,,,
6,6,blaschke_mu_0p3,alpha^18,alpha,18,1,0.000428983333404378483310699462890625,0.0004289833334043785,0.0004289833334043785,0.0,0.0004289833334043785,nan,,[],1.25336695376218174738792457662043183673620971457703840202933240212485322304787386353843815e-179,1.2533669537621818e-179,0,False,,,
6,8,blaschke_mu_0p3,alpha^1,alpha,1,1,0.65,0.65,0.65,0.0,0.65,0.00000712323897805547333964526812822224950820825421124572289243210291830969741649923149525518629,7.1232389780554734e-06,['0.649992876761021944526660354731871777750491791745788754277107567897081690302583500768504745'],8.8706735821628625620874411534647483658513660766102128725182006732390520472099654468955631e-180,8.870673582162863e-180,2,False,7.142642236220279e-06,0.9972834621246446,-0.0011813827721683435
6,8,blaschke_mu_0p3,alpha^2,alpha,2,1,0.4225,0.4225,0.4225,0.0,0.4225,0.0488921076294275942063637528644353809794529483648558875403230956905847354697406386121633154,0.0488921076294276,['(0.40582797260974835711486699817371912340135730891029695170992728571591083927371390265031211 + 0.0459617416026224027953883860147907315016426761325713413020387456329423173604982194215678788j)'],8.8706735821628625620874411534647483658513660766102128725182006732390520472099654468955631e-180,8.870673582162863e-180,2,False,0.04889244977572102,0.9999930020627931,-3.039176147670241e-06
