rank,name,family,power,expected_multiplicity,centre_exact,centre_float,radius_fraction_exact,radius_exact,radius_float,zero_outside_enclosed_region,count_method,moat_method,certificate_route,count_reference_matrix,schur_diagonal_algebraic_count,schur_diagonal_membership_certified,exact_dyadic_schur_upper_triangular_certified,minimum_schur_diagonal_boundary_distance_lower,triangular_inverse_bound_upper,Q_condition_upper,surrogate_resolvent_bound_upper,surrogate_moat_lower,eta_schur_upper,A_N_circ_moat_lower,eta_A_upper,mathematical_finite_matrix_moat_lower,distance_to_zero_lower,lifted_finite_section_moat_lower,epsilon_upper,certified_small_gain_product_upper,theorem_precision_bits,theorem_epsilon_upper,theorem_small_gain_product_upper,theorem_rounding_role,legacy_5c0_compatibility_precision_bits,legacy_5c0_compatibility_epsilon_upper,legacy_5c0_compatibility_small_gain_product_upper,legacy_5c0_compatibility_serialized_moat_lower,legacy_5c0_compatibility_rounding_role,legacy_5c0_compatibility_is_conservative_upper,legacy_5c0_compatibility_theorem_gate,finite_count_matches_expected,A_N_circ_count_transport_certified,mathematical_finite_count_transport_certified,finite_count_certified,certified_small_gain_pass,finite_to_exact_rank_transfer_certified,complete_circle_covered,sampled_values_used_in_theorem_gate,laurent_used_for_count,laurent_used_for_moat,theorem_certified,status,laurent_sample_count,minimum_laurent_mode,maximum_laurent_mode,coefficient_sha256,reference_coefficient_sha256,coefficient_digest_matches_recorded_reference,coefficient_digest_used_in_theorem_gate,candidate_coefficient_matrix_count,candidate_coefficient_matrix_rows,candidate_coefficient_matrix_columns,candidate_coefficient_dtype,candidate_coefficient_layout,candidate_generation_method,candidate_generated_in_recorded_run,maximum_sample_inverse_residual_diagnostic,coefficient_frobenius_sum_upper,exact_dyadic_residual_sum_upper,neumann_margin_lower,triangular_laurent_moat_lower,schur_homotopy_product_upper,candidate_coefficients_validated_exact_dyadic,laurent_reference_matrix,inverse_sampling_seconds,elapsed_seconds
12,alpha^9,alpha,9,1,10604499373/512000000000,0.020711912837890624,1/5,3219500627/2560000000000,0.001257617432421875,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,True,0.0012576174324163975,42141236.671811834,1.0000000000000882,42141236.67181554,2.372972601131114e-08,2.5662760670356637e-15,2.3729723445035073e-08,3.3876222373539915e-154,2.3729723445035073e-08,0.019454295405468745,2.3729723445035073e-08,3.3264433839016544e-20,1.401804530763564e-12,256,3.3264433839016544e-20,1.401804530763564e-12,configured-precision interval upper bounds used by theorem gates,53,3.326443383901655e-20,1.401804530763565e-12,2.3729723445035073e-08,fixed-53-bit upward epsilon over downward serialized moat; diagnostic compatibility only,True,False,True,True,True,True,True,True,True,False,False,False,True,theorem_certified,,,,,,,,,,,,,,,,,,,,,,,,
13,alpha^10,alpha,10,1,137858491849/10240000000000,0.013462743344628906,1/5,965009442943/1024000000000000,0.0009423920341240234,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,True,0.0009423920341136496,200943433.42977545,1.0000000000000882,200943433.4297931,4.976524900224652e-09,2.5662760670356637e-15,4.976522333948585e-09,3.3876222373539915e-154,4.976522333948585e-09,0.012520351310504881,4.976522333948585e-09,3.3264433839016544e-20,6.684272993631501e-12,256,3.3264433839016544e-20,6.684272993631501e-12,configured-precision interval upper bounds used by theorem gates,53,3.326443383901655e-20,6.684272993631506e-12,4.976522333948585e-09,fixed-53-bit upward epsilon over downward serialized moat; diagnostic compatibility only,True,False,True,True,True,True,True,True,True,False,False,False,True,theorem_certified,,,,,,,,,,,,,,,,,,,,,,,,
14,alpha^11,alpha,11,1,1792160394037/204800000000000,0.00875078317400879,1/5,133280394037/1024000000000000,0.00013015663480175782,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,True,0.00013015663474036843,34626858291.48808,1.0000000000000882,34626858291.49113,2.8879316499982058e-11,2.5662760670356637e-15,2.8876750223915022e-11,3.3876222373539915e-154,2.8876750223915022e-11,0.008620626539207029,2.8876750223915022e-11,3.3264433839016544e-20,1.1519452009342708e-09,256,3.3264433839016544e-20,1.1519452009342708e-09,configured-precision interval upper bounds used by theorem gates,53,3.326443383901655e-20,1.1519452009342716e-09,2.8876750223915022e-11,fixed-53-bit upward epsilon over downward serialized moat; diagnostic compatibility only,True,False,True,True,True,True,True,True,True,False,False,False,True,theorem_certified,,,,,,,,,,,,,,,,,,,,,,,,
15,mu^4,mu,4,2,81/10000,0.0081,1/5,133280394037/1024000000000000,0.00013015663480175782,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,2,True,True,0.0001301566347001806,58707532079.33476,1.0000000000000882,58707532079.33992,1.7033589465974422e-11,2.5662760670356637e-15,1.7031023189907386e-11,3.3876222373539915e-154,1.7031023189907386e-11,0.00796984336519824,1.7031023189907386e-11,3.3264433839016544e-20,1.95316708033896e-09,256,3.3264433839016544e-20,1.95316708033896e-09,configured-precision interval upper bounds used by theorem gates,53,3.326443383901655e-20,1.9531670803389625e-09,1.7031023189907386e-11,fixed-53-bit upward epsilon over downward serialized moat; diagnostic compatibility only,True,False,True,True,True,True,True,True,True,False,False,False,True,theorem_certified,,,,,,,,,,,,,,,,,,,,,,,,
16,alpha^12,alpha,12,1,23298085122481/4096000000000000,0.005688009063105713,1/5,163086595857367/409600000000000000,0.0003981606344173999,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,True,0.00039816063409311194,31948917887.80081,1.0000000000000882,31948917887.80362,3.129996463453763e-11,2.5662760670356637e-15,3.129739835847059e-11,3.3876222373539915e-154,3.129739835847059e-11,0.005289848428688312,3.129739835847059e-11,3.3264433839016544e-20,1.0628498080899931e-09,256,3.3264433839016544e-20,1.0628498080899931e-09,configured-precision interval upper bounds used by theorem gates,53,3.326443383901655e-20,1.0628498080899941e-09,3.129739835847059e-11,fixed-53-bit upward epsilon over downward serialized moat; diagnostic compatibility only,True,False,True,True,True,True,True,True,True,False,False,False,True,theorem_certified,,,,,,,,,,,,,,,,,,,,,,,,
17,alpha^13,alpha,13,1,302875106592253/81920000000000000,0.0036972058910187135,1/5,103809506592253/409600000000000000,0.0002534411782037427,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,True,0.0002534411781868882,806018051905.0095,1.0000000000000882,806018051905.0803,1.2406670019814442e-12,2.5662760670356637e-15,1.2381007259144083e-12,3.3876222373539915e-154,1.2381007259144083e-12,0.0034437647128149704,1.2381007259144083e-12,3.3264433839016544e-20,2.686730824299359e-08,256,3.3264433839016544e-20,2.686730824299359e-08,configured-precision interval upper bounds used by theorem gates,53,3.326443383901655e-20,2.686730824299362e-08,1.2381007259144083e-12,fixed-53-bit upward epsilon over downward serialized moat; diagnostic compatibility only,True,False,True,True,True,True,True,True,True,False,False,False,True,theorem_certified,,,,,,,,,,,,,,,,,,,,,,,,
18,mu^5,mu,5,2,243/100000,0.00243,1/4,43935614300711/6553600000000000000,6.704042709459076e-06,True,certified Schur-diagonal algebraic count,complete-circle Laurent approximate inverse in Schur coordinates,Schur-count/Laurent-moat,exact-binary upper-triangular Schur matrix T,2,True,True,6.703998302210665e-06,,1.0000000000000882,,2.1612808096714327e-13,2.5662760670356637e-15,2.1356180490010761e-13,3.3876222373539915e-154,2.1356180490010761e-13,0.0024232959572905405,2.1356180490010761e-13,3.3264433839016544e-20,1.5576022058146492e-07,256,3.3264433839016544e-20,1.5576022058146492e-07,configured-precision interval upper bounds used by theorem gates,53,3.326443383901655e-20,1.5576022058146505e-07,2.1356180490010761e-13,fixed-53-bit upward epsilon over downward serialized moat; diagnostic compatibility only,True,False,True,True,True,True,True,True,True,False,False,True,True,theorem_certified,44,-21,22,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,5ff9d98a62ed213189da64d7ace168a555816a6b32b8d750fbce0d196a9cd982,False,False,44,600,600,complex128,C-contiguous signed-mode order,FFT of complete-circle binary64 Schur-resolvent samples,True,2.735023705158247e-06,4626823722270.605,1.3467932311719749e-05,0.9999865320676882,2.1612808096716225e-13,0.011873866901292664,True,exact-binary Schur triangular matrix,2.1947548389434814,61.484748125076294
19,alpha^14,alpha,14,1,3937376385699289/1638400000000000000,0.0024031838291621636,9/50,395420528706399/81920000000000000000,4.826910750810535e-06,True,certified Schur-diagonal algebraic count,complete-circle Laurent approximate inverse in Schur coordinates,Schur-count/Laurent-moat,exact-binary upper-triangular Schur matrix T,1,True,True,4.826865773881814e-06,,1.0000000000000882,,1.6740434727982626e-13,2.5662760670356637e-15,1.6483807121279058e-13,3.3876222373539915e-154,1.6483807121279058e-13,0.0023983569184113525,1.6483807121279058e-13,3.3264433839016544e-20,2.0180067380232356e-07,256,3.3264433839016544e-20,2.0180067380232356e-07,configured-precision interval upper bounds used by theorem gates,53,3.326443383901655e-20,2.0180067380232372e-07,1.6483807121279058e-13,fixed-53-bit upward epsilon over downward serialized moat; diagnostic compatibility only,True,False,True,True,True,True,True,True,True,False,False,True,True,theorem_certified,36,-17,18,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,00a85f99c6369d6a2364b9e9626b4216d64da9646fda9599e56dd21c9f32f3ab,False,False,36,600,600,complex128,C-contiguous signed-mode order,FFT of complete-circle binary64 Schur-resolvent samples,True,3.3834355784315944e-06,5973456964973.235,1.7335774435699646e-05,0.9999826642255641,1.6740434727984095e-13,0.015329805400728222,True,exact-binary Schur triangular matrix,1.7004036903381348,50.89463496208191
20,alpha^15,alpha,15,1,51185893014090757/32768000000000000000,0.0015620694889554065,1/5,358301251098635299/3276800000000000000000,0.00010934486422687844,True,certified Schur-diagonal algebraic count,complete-circle Laurent approximate inverse in Schur coordinates,Schur-count/Laurent-moat,exact-binary upper-triangular Schur matrix T,1,True,True,0.00010934486377655522,,1.0000000000000882,,3.360189973343398e-11,2.5662760670356637e-15,3.359933345736694e-11,3.3876222373539915e-154,3.359933345736694e-11,0.0014527246247285277,3.359933345736694e-11,3.3264433839016544e-20,9.900325517238205e-10,256,3.3264433839016544e-20,9.900325517238205e-10,configured-precision interval upper bounds used by theorem gates,53,3.326443383901655e-20,9.900325517238216e-10,3.359933345736694e-11,fixed-53-bit upward epsilon over downward serialized moat; diagnostic compatibility only,True,False,True,True,True,True,True,True,True,False,False,True,True,theorem_certified,48,-23,24,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,4da5d5813112f4e74550c35bd8e72bd00fee1d5d6978098a93a1dbeb313fe02a,False,False,48,600,600,complex128,C-contiguous signed-mode order,FFT of complete-circle binary64 Schur-resolvent samples,True,8.714452630049787e-09,29760220433.118805,5.6961360804134837e-08,0.999999943038639,3.360189973343693e-11,7.637294579753215e-05,True,exact-binary Schur triangular matrix,1.2627251148223877,69.33355593681335
21,alpha^16,alpha,16,1,665416609183179841/655360000000000000000,0.0010153451678210142,1/5,187659169183179841/3276800000000000000000,5.726903356420283e-05,True,certified Schur-diagonal algebraic count,complete-circle Laurent approximate inverse in Schur coordinates,Schur-count/Laurent-moat,exact-binary upper-triangular Schur matrix T,1,True,True,5.726903135893197e-05,,1.0000000000000882,,4.287630383535375e-12,2.5662760670356637e-15,4.285064107468339e-12,3.3876222373539915e-154,4.285064107468339e-12,0.0009580761342568113,4.285064107468339e-12,3.3264433839016544e-20,7.762878921937416e-09,256,3.3264433839016544e-20,7.762878921937416e-09,configured-precision interval upper bounds used by theorem gates,53,3.326443383901655e-20,7.762878921937425e-09,4.285064107468339e-12,fixed-53-bit upward epsilon over downward serialized moat; diagnostic compatibility only,True,False,True,True,True,True,True,True,True,False,False,True,True,theorem_certified,48,-23,24,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,9ada35489c32a58968c11f5bba84929caed6470247568e865d350701bb3f7d23,False,False,48,600,600,complex128,C-contiguous signed-mode order,FFT of complete-circle binary64 Schur-resolvent samples,True,5.724041453970742e-08,233228990962.78757,2.9202656685750194e-07,0.9999997079734331,4.287630383535751e-12,0.0005985301524334369,True,exact-binary Schur triangular matrix,3.193964719772339,72.28019285202026
22,mu^6,mu,6,2,729/1000000,0.000729,1/4,904732880618662067/52428800000000000000000,1.7256410229085197e-05,True,certified Schur-diagonal algebraic count,complete-circle Laurent approximate inverse in Schur coordinates,Schur-count/Laurent-moat,exact-binary upper-triangular Schur matrix T,2,True,True,1.725635891402757e-05,,1.0000000000000882,,1.8285638539202664e-13,2.5662760670356637e-15,1.8029010932499098e-13,3.3876222373539915e-154,1.8029010932499098e-13,0.0007117435897709146,1.8029010932499098e-13,3.3264433839016544e-20,1.845050400355244e-07,256,3.3264433839016544e-20,1.845050400355244e-07,configured-precision interval upper bounds used by theorem gates,53,3.326443383901655e-20,1.8450504003552457e-07,1.8029010932499098e-13,fixed-53-bit upward epsilon over downward serialized moat; diagnostic compatibility only,True,False,True,True,True,True,True,True,True,False,False,True,True,theorem_certified,36,-17,18,420637f37bcf20843176a1c5ace29ff0003e256c58a08d0e09e51cb1961da4a3,9a6809ba73c82b5b64cfba6a22a35465dade23f5327f47189e8fc83e2a1c7324,False,False,36,600,600,complex128,C-contiguous signed-mode order,FFT of complete-circle binary64 Schur-resolvent samples,True,9.545280073054392e-07,5465481185986.692,0.0006018659022587758,0.9993981340977411,1.8285638539204272e-13,0.014034380377441083,True,exact-binary Schur triangular matrix,1.6381385326385498,53.3644700050354
23,alpha^17,alpha,17,1,8650415919381337933/13107200000000000000000,0.0006599743590836592,1/4,904732880618662067/52428800000000000000000,1.7256410229085197e-05,True,certified Schur-diagonal algebraic count,complete-circle Laurent approximate inverse in Schur coordinates,Schur-count/Laurent-moat,exact-binary upper-triangular Schur matrix T,1,True,True,1.725633754339971e-05,,1.0000000000000882,,1.655059563794669e-13,2.5662760670356637e-15,1.6293968031243122e-13,3.3876222373539915e-154,1.6293968031243122e-13,0.0006427179488545739,1.6293968031243122e-13,3.3264433839016544e-20,2.0415182953122976e-07,256,3.3264433839016544e-20,2.0415182953122976e-07,configured-precision interval upper bounds used by theorem gates,53,3.326443383901655e-20,2.0415182953122995e-07,1.6293968031243122e-13,fixed-53-bit upward epsilon over downward serialized moat; diagnostic compatibility only,True,False,True,True,True,True,True,True,True,False,False,True,True,theorem_certified,40,-19,20,1610572d882eb81cef71a439518af6009e8518592570e18a86a8e7bb74a1f772,cf57966aca93efcc91ecc727e82199f08a3098a404b9c616cdaaac78f12ec42c,False,False,40,600,600,complex128,C-contiguous signed-mode order,FFT of complete-circle binary64 Schur-resolvent samples,True,1.0651291476827995e-06,6041862879096.807,3.570588139589927e-05,0.999964294118604,1.6550595637948141e-13,0.015505641749543959,True,exact-binary Schur triangular matrix,4.3731465339660645,61.99403524398804
24,alpha^18,alpha,18,1,112455406951957393129/262144000000000000000000,0.0004289833334043785,1/5,60552911435669365531/1310720000000000000000000,4.6198205135856144e-05,True,certified Schur-diagonal algebraic count,complete-circle Laurent approximate inverse in Schur coordinates,Schur-count/Laurent-moat,exact-binary upper-triangular Schur matrix T,1,True,True,4.619820220386856e-05,,1.0000000000000882,,3.796412833507433e-13,2.5662760670356637e-15,3.7707500728370767e-13,3.3876222373539915e-154,3.7707500728370767e-13,0.0003827851282685223,3.7707500728370767e-13,3.3264433839016544e-20,8.821702100767631e-08,256,3.3264433839016544e-20,8.821702100767631e-08,configured-precision interval upper bounds used by theorem gates,53,3.326443383901655e-20,8.821702100767637e-08,3.7707500728370767e-13,fixed-53-bit upward epsilon over downward serialized moat; diagnostic compatibility only,True,False,True,True,True,True,True,True,True,False,False,True,True,theorem_certified,48,-23,24,9efdd7ae3c8d3f49bd238dd48b3f8ae36303dce716740239e54115b78073b9d6,e774344bd462abfca87b819e3de75acbe3e10c3e7cea2015814a44a95c6c6a17,False,False,48,600,600,complex128,C-contiguous signed-mode order,FFT of complete-circle binary64 Schur-resolvent samples,True,2.655956893186256e-07,2633766209089.652,0.00011361633529470299,0.9998863836647052,3.7964128335077665e-13,0.006759739205350673,True,exact-binary Schur triangular matrix,2.5843353271484375,71.5858736038208
