N,M,map_name,eig_index,eig,eig_re,eig_im,eig_abs,gram_error,gram_error_float
12,12,blaschke_mu_0p3,0,1.0,1.0,-9.937779145894983e-182,1.0,4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,1,0.422501353245155052025535783340787575897472056133753898460973617706013379802923090424879647,0.42250135324515503,-2.5396261956423424e-181,0.42250135324515503,4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,2,0.299831422681887255569019164196639595102443901024874895647625539429125900729549035073745606,0.2998314226818873,1.676869091512549e-181,0.2998314226818873,4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,3,(0.12184464719067268237472154375997914002723004002312930747521981563249777579854916868081627 - 0.0662999036566379211424523683519801979466777905327894261873343209595397566136631622360571028j),0.12184464719067269,-0.06629990365663792,0.13871479832339076,4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,4,0.190929063086473785037512416421019630910379401598670101578980548453432626729352199916372357,0.19092906308647378,-7.610848955164056e-182,0.19092906308647378,4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,5,(0.12184464719067268237472154375997914002723004002312930747521981563249777579854916868081627 + 0.0662999036566379211424523683519801979466777905327894261873343209595397566136631622360571028j),0.12184464719067269,0.06629990365663792,0.13871479832339076,4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,6,0.650000003854433264780047850521707512900201672630756620436408096968244754984688741146185457,0.6500000038544332,1.84389322796163e-181,0.6500000038544332,4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,7,0.300131282997000098777861015499891858132551050280752706657651662110537067885379212227947993,0.3001312829970001,3.860371836569148e-182,0.3001312829970001,4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,8,0.274208174079354292339862554646160871406594691861382246133882974363844092036112666058257896,0.27420817407935427,-1.6554993703269252e-181,0.27420817407935427,4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,9,(0.09851927445999315309911401986112167157904992618593400539898794397905733103206787503668717 - 0.0689903161254600059852650165874278394599956105446812100065322205363994697588457727436295432j),0.09851927445999316,-0.06899031612546,0.12027348485520142,4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,10,0.150145738416056102919121830185398941821707077386006140816432478997576181146027222876226438,0.1501457384160561,2.5561741671425383e-182,0.1501457384160561,4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
12,12,blaschke_mu_0p3,11,(0.09851927445999315309911401986112167157904992618593400539898794397905733103206787503668717 + 0.0689903161254600059852650165874278394599956105446812100065322205363994697588457727436295432j),0.09851927445999316,0.06899031612546,0.12027348485520142,4.69747888257853837985539195012445368486370935797201874555692367232184038152864441348325178e-179,4.6974788825785386e-179
