N,M,source,eig_re,eig_im,eig_abs
20,20,stored raw sweep,1.0,0.0,1.0
20,20,stored raw sweep,0.4224999999900371,0.0,0.4224999999900371
20,20,stored raw sweep,0.2999999999895291,0.0,0.2999999999895291
20,20,stored raw sweep,0.1785063181535264,0.0,0.1785063181535264
20,20,stored raw sweep,0.012352103658064493,-0.030584825891452398,0.03298493655579812
20,20,stored raw sweep,0.07826405753601501,0.0,0.07826405753601501
20,20,stored raw sweep,0.08924820783467294,0.0,0.08924820783467294
20,20,stored raw sweep,0.012352103658064493,0.030584825891452398,0.03298493655579812
20,20,stored raw sweep,0.045002450886354295,-0.019734420287627234,0.04913927075026087
20,20,stored raw sweep,0.045002450886354295,0.019734420287627234,0.04913927075026087
20,20,stored raw sweep,0.6499999999999958,0.0,0.6499999999999958
20,20,stored raw sweep,0.30000000000481636,0.0,0.30000000000481636
20,20,stored raw sweep,0.2746249997663155,0.0,0.2746249997663155
20,20,stored raw sweep,0.11603885984328396,0.0,0.11603885984328396
20,20,stored raw sweep,0.08982614412632167,0.0,0.08982614412632167
20,20,stored raw sweep,0.007404127440041467,-0.02729353241104989,0.028279993186374815
20,20,stored raw sweep,0.03720004947014696,-0.020983510435613383,0.042710085352090754
20,20,stored raw sweep,0.055899321535353555,0.0,0.055899321535353555
20,20,stored raw sweep,0.03720004947014696,0.020983510435613383,0.042710085352090754
20,20,stored raw sweep,0.007404127440041467,0.02729353241104989,0.028279993186374815
100,100,stored raw sweep,1.0,0.0,1.0
100,100,stored raw sweep,0.4225,0.0,0.4225
100,100,stored raw sweep,0.65,0.0,0.65
100,100,stored raw sweep,0.3,0.0,0.3
100,100,stored raw sweep,0.3,0.0,0.3
100,100,stored raw sweep,0.17850625,0.0,0.17850625
100,100,stored raw sweep,0.274625,0.0,0.274625
100,100,stored raw sweep,0.075418890625,0.0,0.075418890625
100,100,stored raw sweep,0.09,0.0,0.09
100,100,stored raw sweep,0.09,0.0,0.09
100,100,stored raw sweep,0.1160290625,0.0,0.1160290625
100,100,stored raw sweep,0.0318644812890625,0.0,0.0318644812890625
100,100,stored raw sweep,0.04902227890625,0.0,0.04902227890625
100,100,stored raw sweep,0.013462743344628906,0.0,0.013462743344628906
100,100,stored raw sweep,0.027,0.0,0.027
100,100,stored raw sweep,0.027,0.0,0.027
100,100,stored raw sweep,0.020711912837890624,0.0,0.020711912837890624
100,100,stored raw sweep,0.005688009063105713,0.0,0.005688009063105713
100,100,stored raw sweep,0.0081,0.0,0.0081
100,100,stored raw sweep,0.0081,0.0,0.0081
100,100,stored raw sweep,0.00875078317400879,0.0,0.00875078317400879
100,100,stored raw sweep,0.0024031838291621636,0.0,0.0024031838291621636
100,100,stored raw sweep,0.0036972058910187135,0.0,0.0036972058910187135
100,100,stored raw sweep,0.00243,0.0,0.00243
100,100,stored raw sweep,0.0010153451678210142,0.0,0.0010153451678210142
100,100,stored raw sweep,0.00243,0.0,0.00243
100,100,stored raw sweep,0.000729,0.0,0.000729
100,100,stored raw sweep,0.0015620694889554065,0.0,0.0015620694889554065
100,100,stored raw sweep,0.0004289833334043785,0.0,0.0004289833334043785
100,100,stored raw sweep,0.000729,0.0,0.000729
100,100,stored raw sweep,0.0006599743590836592,0.0,0.0006599743590836592
100,100,stored raw sweep,0.0001812454583633499,0.0,0.0001812454583633499
100,100,stored raw sweep,0.0002187,0.0,0.0002187
100,100,stored raw sweep,0.000278839166712846,0.0,0.000278839166712846
100,100,stored raw sweep,7.657620615851534e-05,0.0,7.657620615851534e-05
100,100,stored raw sweep,0.0002187,0.0,0.0002187
100,100,stored raw sweep,6.561e-05,0.0,6.561e-05
100,100,stored raw sweep,0.00011780954793617744,0.0,0.00011780954793617744
100,100,stored raw sweep,3.235344710197128e-05,0.0,3.235344710197128e-05
100,100,stored raw sweep,6.561e-05,0.0,6.561e-05
100,100,stored raw sweep,1.3669331383970184e-05,0.0,1.3669331383970184e-05
100,100,stored raw sweep,4.9774534003034976e-05,0.0,4.9774534003034976e-05
100,100,stored raw sweep,1.9683000000452632e-05,0.0,1.9683000000452632e-05
100,100,stored raw sweep,5.7744205489329345e-06,0.0,5.7744205489329345e-06
100,100,stored raw sweep,5.905612686419606e-06,0.0,5.905612686419606e-06
100,100,stored raw sweep,2.1029740615987878e-05,0.0,2.1029740615987878e-05
100,100,stored raw sweep,1.9683000000601493e-05,0.0,1.9683000000601493e-05
100,100,stored raw sweep,2.518645182143615e-06,0.0,2.518645182143615e-06
100,100,stored raw sweep,8.885065029746306e-06,0.0,8.885065029746306e-06
100,100,stored raw sweep,1.840143943060249e-06,-5.196696773335004e-07,1.9121156619622216e-06
100,100,stored raw sweep,1.840143943060249e-06,5.196696773335004e-07,1.9121156619622216e-06
100,100,stored raw sweep,9.714380334590588e-07,-9.35838314650355e-07,1.3488829467446092e-06
100,100,stored raw sweep,9.714380334590588e-07,9.35838314650355e-07,1.3488829467446092e-06
100,100,stored raw sweep,5.904921954482494e-06,0.0,5.904921954482494e-06
100,100,stored raw sweep,2.511843713154054e-07,-9.235084398798136e-07,9.570587374463297e-07
100,100,stored raw sweep,2.511843713154054e-07,9.235084398798136e-07,9.570587374463297e-07
100,100,stored raw sweep,-2.061546724882795e-07,-6.406803210989686e-07,6.730312198050157e-07
100,100,stored raw sweep,-2.061546724882795e-07,6.406803210989686e-07,6.730312198050157e-07
100,100,stored raw sweep,3.752970598221775e-06,0.0,3.752970598221775e-06
100,100,stored raw sweep,-3.75470145077479e-07,-2.782380763228966e-07,4.673267132963503e-07
100,100,stored raw sweep,-3.75470145077479e-07,2.782380763228966e-07,4.673267132963503e-07
100,100,stored raw sweep,-3.5089455051339363e-07,0.0,3.5089455051339363e-07
100,100,stored raw sweep,2.030760990041297e-06,0.0,2.030760990041297e-06
100,100,stored raw sweep,-2.2379527075880997e-07,0.0,2.2379527075880997e-07
100,100,stored raw sweep,-1.2946534619974155e-07,-8.473709473881587e-08,1.5473089895490814e-07
100,100,stored raw sweep,-1.2946534619974155e-07,8.473709473881587e-08,1.5473089895490814e-07
100,100,stored raw sweep,1.5587082145465685e-06,-5.700443241212698e-07,1.6596752180947411e-06
100,100,stored raw sweep,1.5587082145465685e-06,5.700443241212698e-07,1.6596752180947411e-06
100,100,stored raw sweep,-1.9256125873071383e-08,-9.754210872961045e-08,9.942465166677083e-08
100,100,stored raw sweep,-1.9256125873071383e-08,9.754210872961045e-08,9.942465166677083e-08
100,100,stored raw sweep,3.9432513077420175e-08,-4.689256050951406e-08,6.126855081311579e-08
100,100,stored raw sweep,3.9432513077420175e-08,4.689256050951406e-08,6.126855081311579e-08
100,100,stored raw sweep,3.8780690887035477e-08,0.0,3.8780690887035477e-08
100,100,stored raw sweep,4.805963037506245e-09,-1.4667156299312262e-08,1.5434466450976905e-08
100,100,stored raw sweep,2.587801910214334e-08,0.0,2.587801910214334e-08
100,100,stored raw sweep,4.805963037506245e-09,1.4667156299312262e-08,1.5434466450976905e-08
100,100,stored raw sweep,-6.729529928910749e-09,-1.7696423039564903e-09,6.9583192617224705e-09
100,100,stored raw sweep,-6.729529928910749e-09,1.7696423039564903e-09,6.9583192617224705e-09
100,100,stored raw sweep,7.716243927397691e-07,-8.723053328422063e-07,1.164611865462468e-06
100,100,stored raw sweep,7.716243927397691e-07,8.723053328422063e-07,1.164611865462468e-06
100,100,stored raw sweep,1.4874937729614024e-07,-8.134638485869394e-07,8.269521208654492e-07
100,100,stored raw sweep,1.4874937729614024e-07,8.134638485869394e-07,8.269521208654492e-07
100,100,stored raw sweep,-2.267699847013362e-07,-5.35387219015301e-07,5.814327994243033e-07
100,100,stored raw sweep,-2.267699847013362e-07,5.35387219015301e-07,5.814327994243033e-07
100,100,stored raw sweep,-3.459959746654262e-07,-2.0806347019582942e-07,4.0373707052314264e-07
100,100,stored raw sweep,-3.459959746654262e-07,2.0806347019582942e-07,4.0373707052314264e-07
100,100,stored raw sweep,-2.8995697669260876e-07,0.0,2.8995697669260876e-07
100,100,stored raw sweep,-1.8395517783221878e-07,0.0,1.8395517783221878e-07
100,100,stored raw sweep,-1.0323700396707395e-07,-8.403781889493078e-08,1.331173692375072e-07
100,100,stored raw sweep,-1.0323700396707395e-07,8.403781889493078e-08,1.331173692375072e-07
100,100,stored raw sweep,-7.396812425263416e-09,-8.513562383930497e-08,8.545634722220559e-08
100,100,stored raw sweep,-7.396812425263416e-09,8.513562383930497e-08,8.545634722220559e-08
100,100,stored raw sweep,3.846676747156224e-08,-3.610603990012256e-08,5.27573532029468e-08
