N,M,map_name,eig_index,eig,eig_re,eig_im,eig_abs,gram_error,gram_error_float
20,20,blaschke_mu_0p3,0,1.0,1.0,1.5564975643011488e-181,1.0,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,1,0.422499999990037140786966100364716122482709446277425216785108617655967888612776987698826583,0.4224999999900371,1.4221221825129432e-181,0.4224999999900371,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,2,0.299999999989529084101199821859665682846091021803326267313735893567820457530898913161749634,0.2999999999895291,-7.401344896694357e-183,0.2999999999895291,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,3,0.178506318153526410482287713131156983448778972832671999871415400319833013741961319594602734,0.1785063181535264,-7.76951458437988e-182,0.1785063181535264,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,4,(0.0123521036580644934130958952633150679534361290145892173310075285478752686881413426667878231 - 0.0305848258914523967464792561390631963815881297083194649255203487968559046109182192865863609j),0.012352103658064493,-0.030584825891452398,0.03298493655579812,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,5,0.0782640575360150133652612487257433944478772250928429645307988319605751464609537227364768857,0.07826405753601501,1.5857466519774154e-181,0.07826405753601501,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,6,0.0892482078346729355208284570356261278282507617076921887619748187743873791103523133983531336,0.08924820783467294,1.5229235708654524e-182,0.08924820783467294,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,7,(0.0123521036580644934130958952633150679534361290145892173310075285478752686881413426667878231 + 0.0305848258914523967464792561390631963815881297083194649255203487968559046109182192865863609j),0.012352103658064493,0.030584825891452398,0.03298493655579812,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,8,(0.0450024508863542930921506768766517387559529803242277453567803893276743306163911460943694307 - 0.019734420287627234310842692768836698563044942317833647665038922558194462349633899819570974j),0.045002450886354295,-0.019734420287627234,0.04913927075026087,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,9,(0.0450024508863542930921506768766517387559529803242277453567803893276743306163911460943694307 + 0.019734420287627234310842692768836698563044942317833647665038922558194462349633899819570974j),0.045002450886354295,0.019734420287627234,0.04913927075026087,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,10,0.649999999999995852481158380662320262747127839669310634544219898798775076043230095264042379,0.6499999999999958,1.844663297659374e-181,0.6499999999999958,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,11,0.300000000004816359865057368465021311320649527441093970795228372717016356053113828009839817,0.30000000000481636,8.425799015013547e-181,0.30000000000481636,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,12,0.274624999766315513800833082159428606354149577253508535383612470895653413188020120457840309,0.2746249997663155,-8.533011361689106e-181,0.2746249997663155,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,13,0.116038859843283967354859277122264993714829669583737037573640960590882724748362131748154426,0.11603885984328396,2.462053897148936e-181,0.11603885984328396,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,14,0.0898261441263216715559588197136356706544854074510010452588713308718353515209339502361784196,0.08982614412632167,-3.895073871301954e-181,0.08982614412632167,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,15,(0.0074041274400414663188282100755423869431431163162937167565088636987970038637769132023576666 - 0.027293532411049890131874956116871510440874554391665846446133197986463775838385771523039507j),0.007404127440041467,-0.02729353241104989,0.02827999318637481,8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
