map_label,target_mode,N,M,map_name,name,family,power,multiplicity,target,target_float,target_real_float,target_imag_float,target_abs_float,error,error_float,selected,gram_error,gram_error_float
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,mu^3,mu,3,2,0.027,0.027,0.027,0.0,0.027,nan,,[],3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,alpha^9,alpha,9,1,0.020711912837890625,0.020711912837890624,0.020711912837890624,0.0,0.020711912837890624,nan,,[],3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,alpha^10,alpha,10,1,0.01346274334462890625,0.013462743344628906,0.013462743344628906,0.0,0.013462743344628906,nan,,[],3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,alpha^11,alpha,11,1,0.0087507831740087890625,0.00875078317400879,0.00875078317400879,0.0,0.00875078317400879,nan,,[],3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,mu^4,mu,4,2,0.0081,0.0081,0.0081,0.0,0.0081,nan,,[],3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,alpha^12,alpha,12,1,0.005688009063105712890625,0.005688009063105713,0.005688009063105713,0.0,0.005688009063105713,nan,,[],3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,alpha^13,alpha,13,1,0.00369720589101871337890625,0.0036972058910187135,0.0036972058910187135,0.0,0.0036972058910187135,nan,,[],3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,mu^5,mu,5,2,0.00243,0.00243,0.00243,0.0,0.00243,nan,,[],3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,alpha^14,alpha,14,1,0.0024031838291621636962890625,0.0024031838291621636,0.0024031838291621636,0.0,0.0024031838291621636,nan,,[],3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,alpha^15,alpha,15,1,0.001562069488955406402587890625,0.0015620694889554065,0.0015620694889554065,0.0,0.0015620694889554065,nan,,[],3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
