cluster_label,fitted_base,fitted_base_over_qstar,points,N_min,N_max
$\mu^{1}$,0.03424995726499285,0.036947095215742014,10,10,100
$\mu^{2}$,0.0799405509596875,0.08623576155306094,10,10,100
$\alpha^{1}$,0.21825169806225203,0.23543872498624813,10,10,100
$\alpha^{2}$,0.22746107004548466,0.24537332259491332,10,10,100
$\alpha^{3}$,0.23285914183791623,0.2511964852620455,10,10,100
$\alpha^{5}$,0.2771767072414278,0.29900399918169124,3,10,30
