name,mode,coefficient_present,coefficient_frobenius_upper,residual_frobenius_upper,coefficient_sha256,precision_bits
mu^5,15,True,825.4166619483066,3.5650024414231353e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,16,True,206.3521883668857,2.1030461043586822e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,17,True,51.583013356567875,2.7501897510738136e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,18,True,12.896553958680917,2.3614457567790534e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,19,True,3.235369197188341,3.8584923265378783e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,20,True,0.8065697371561311,2.2605727943380782e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,21,True,0.2119866536920598,2.902912398653587e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,22,True,0.050437829239808565,2.6153403260385805e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
mu^5,23,False,5e-324,3.3813736139608043e-07,0236f35d4df2078e8a2e7b69a36610a44fdcddd6ce6618584aef9556c1c464d8,256
alpha^14,-17,True,0.04870375203866958,5.74823434878395e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,-16,True,0.0014267897984916041,4.5820391170553124e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,-15,True,0.0006544730509214653,3.6044050367590216e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,-14,True,0.0007334581793381901,3.2532366540706186e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
