N,M,map_name,name,family,power,multiplicity,target,target_float,target_real_float,target_imag_float,target_abs_float,error,error_float,selected,gram_error,gram_error_float
20,20,blaschke_mu_0p3,alpha^1,alpha,1,1,0.65,0.65,0.65,0.0,0.65,0.00000000000000414751884161933767973725287216033068936545578010120122492395676990473595762068402871408471,4.1475188416193376e-15,['0.649999999999995852481158380662320262747127839669310634544219898798775076043230095264042379'],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,alpha^2,alpha,2,1,0.4225,0.4225,0.4225,0.0,0.4225,0.00000000000996285921303389963528387751729055372257478321489138234403211138722301230117341729802929203,9.9628592130339e-12,['0.422499999990037140786966100364716122482709446277425216785108617655967888612776987698826583'],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,mu^1,mu,1,2,0.3,0.3,0.3,0.0,0.3,0.0000000000104709158988001781403343171539089781966737326862641064321795424691010868382503657943511862,1.0470915898800179e-11,"['0.300000000004816359865057368465021311320649527441093970795228372717016356053113828009839817', '0.299999999989529084101199821859665682846091021803326267313735893567820457530898913161749634']",8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,alpha^3,alpha,3,1,0.274625,0.274625,0.274625,0.0,0.274625,0.000000000233684486199166917840571393645850422746491464616387529104346586811979879542159690684640615,2.336844861991669e-10,['0.274624999766315513800833082159428606354149577253508535383612470895653413188020120457840309'],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,alpha^4,alpha,4,1,0.17850625,0.17850625,0.17850625,0.0,0.17850625,0.0000000681535264104822877131311569834487789728326719998714154003198330137419613195946027344752875,6.815352641048228e-08,['0.178506318153526410482287713131156983448778972832671999871415400319833013741961319594602734'],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,alpha^5,alpha,5,1,0.1160290625,0.1160290625,0.1160290625,0.0,0.1160290625,0.00000979734328396735485927712226499371482966958373703757364096059088272474836213174815442630872,9.797343283967355e-06,['0.116038859843283967354859277122264993714829669583737037573640960590882724748362131748154426'],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,mu^2,mu,2,2,0.09,0.09,0.09,0.0,0.09,0.00075179216532706447917154296437387217174923829230781123802518122561262088964768660164686636,0.0007517921653270645,"['0.0898261441263216715559588197136356706544854074510010452588713308718353515209339502361784196', '0.0892482078346729355208284570356261278282507617076921887619748187743873791103523133983531336']",8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,alpha^6,alpha,6,1,0.075418890625,0.075418890625,0.075418890625,0.0,0.075418890625,0.00284516691101501336526124872574339444787722509284296453079883196057514646095372273647688569,0.0028451669110150135,['0.0782640575360150133652612487257433944478772250928429645307988319605751464609537227364768857'],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,alpha^7,alpha,7,1,0.04902227890625,0.04902227890625,0.04902227890625,0.0,0.04902227890625,0.00687704262910355246666776299696857857517589014101079000509514733640557120195019255595429253,0.006877042629103552,['0.0558993215353535524666677629969685785751758901410107900050951473364055712019501925559542925'],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,alpha^8,alpha,8,1,0.0318644812890625,0.0318644812890625,0.0318644812890625,0.0,0.0318644812890625,0.0216512354847592176842733603799308163793204996274552058757247374245847906958548728373907115,0.021651235484759217,['(0.0372000494701469601127069611076993947422584464236747824919664530855400900637399162641959666 - 0.0209835104356133838449416375106423979353054203327579020348411627676394152892005241997256454j)'],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,mu^3,mu,3,2,0.027,0.027,0.027,0.0,0.027,0.0267120868148542794893779244716389250495197929321122684934074986207707531112829341942239969,0.02671208681485428,"['(0.0372000494701469601127069611076993947422584464236747824919664530855400900637399162641959666 + 0.0209835104356133838449416375106423979353054203327579020348411627676394152892005241997256454j)', '(0.0450024508863542930921506768766517387559529803242277453567803893276743306163911460943694307 + 0.019734420287627234310842692768836698563044942317833647665038922558194462349633899819570974j)']",8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,alpha^9,alpha,9,1,0.020711912837890625,0.020711912837890624,0.020711912837890624,0.0,0.020711912837890624,0.0303650138097817785166253436068407593998752510343685469825064773175433781491298254111966265,0.03036501380978178,['(0.0074041274400414663188282100755423869431431163162937167565088636987970038637769132023576666 + 0.027293532411049890131874956116871510440874554391665846446133197986463775838385771523039507j)'],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,alpha^10,alpha,10,1,0.01346274334462890625,0.013462743344628906,0.013462743344628906,0.0,0.013462743344628906,0.0279578922337208874187262555495257471911356725851735262316897842395291396235420188972516442,0.027957892233720888,['(0.0074041274400414663188282100755423869431431163162937167565088636987970038637769132023576666 - 0.027293532411049890131874956116871510440874554391665846446133197986463775838385771523039507j)'],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,alpha^11,alpha,11,1,0.0087507831740087890625,0.00875078317400879,0.00875078317400879,0.0,0.00875078317400879,0.0307961212499128874959268424128510368356594894700069126318089063118018420742656524466233622,0.030796121249912888,['(0.0123521036580644934130958952633150679534361290145892173310075285478752686881413426667878231 + 0.0305848258914523967464792561390631963815881297083194649255203487968559046109182192865863609j)'],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,mu^4,mu,4,2,0.0081,0.0081,0.0081,0.0,0.0081,0.0418477983352589784156481565620546999867677546833216176224112667844326620059492300711726968,0.04184779833525898,"['(0.0123521036580644934130958952633150679534361290145892173310075285478752686881413426667878231 - 0.0305848258914523967464792561390631963815881297083194649255203487968559046109182192865863609j)', '(0.0450024508863542930921506768766517387559529803242277453567803893276743306163911460943694307 - 0.019734420287627234310842692768836698563044942317833647665038922558194462349633899819570974j)']",8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,alpha^12,alpha,12,1,0.005688009063105712890625,0.005688009063105713,0.005688009063105713,0.0,0.005688009063105713,0.994311990936894287109375,0.9943119909368943,['1.0'],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,alpha^13,alpha,13,1,0.00369720589101871337890625,0.0036972058910187135,0.0036972058910187135,0.0,0.0036972058910187135,nan,,[],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,mu^5,mu,5,2,0.00243,0.00243,0.00243,0.0,0.00243,nan,,[],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,alpha^14,alpha,14,1,0.0024031838291621636962890625,0.0024031838291621636,0.0024031838291621636,0.0,0.0024031838291621636,nan,,[],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,alpha^15,alpha,15,1,0.001562069488955406402587890625,0.0015620694889554065,0.0015620694889554065,0.0,0.0015620694889554065,nan,,[],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,alpha^16,alpha,16,1,0.00101534516782101416168212890625,0.0010153451678210142,0.0010153451678210142,0.0,0.0010153451678210142,nan,,[],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,mu^6,mu,6,2,0.000729,0.000729,0.000729,0.0,0.000729,nan,,[],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,alpha^17,alpha,17,1,0.0006599743590836592050933837890625,0.0006599743590836592,0.0006599743590836592,0.0,0.0006599743590836592,nan,,[],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
20,20,blaschke_mu_0p3,alpha^18,alpha,18,1,0.000428983333404378483310699462890625,0.0004289833334043785,0.0004289833334043785,0.0,0.0004289833334043785,nan,,[],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
