theta,branch,weighted_kernel,K_tail,phi_abs
0.13499030933393644,1,1.953633815076269e-220,4.956316958195428e-220,0.3941704760923075
0.13499030933393644,2,2.8536327116703804e-25,4.698069061068932e-25,0.6074054413795921
0.13499030933393644,0,2.8536327116703804e-25,,
0.14112623248547898,1,1.0575535776985919e-219,2.6862357320051918e-219,0.3936935113692204
0.14112623248547898,2,3.098504366353473e-25,5.096026770340412e-25,0.6080235654151587
0.14112623248547898,0,3.098504366353473e-25,,
0.14726215563702155,1,5.684341290477184e-219,1.4456824115490218e-218,0.39319433127684783
0.14726215563702155,2,3.375866904528929e-25,5.546308312242997e-25,0.6086691749676075
0.14726215563702155,0,3.375866904528929e-25,,
0.15339807878856412,1,3.0328848082727347e-218,7.723694371062361e-218,0.3926728146618228
0.15339807878856412,2,3.690478688217131e-25,6.0564956253437235e-25,0.6093422527664561
0.15339807878856412,0,3.690478688217131e-25,,
0.1595340019401067,1,1.6058712680702617e-217,4.095264396410062e-217,0.3921288377566
0.1595340019401067,2,4.047888257846921e-25,6.635417075319212e-25,0.6100427767989532
0.1595340019401067,0,4.047888257846921e-25,,
0.16566992509164924,1,8.435819285479128e-217,2.154400419636091e-216,0.3915622745238816
0.16566992509164924,2,4.454574393704275e-25,7.293365986823292e-25,0.610770719822949
0.16566992509164924,0,4.454574393704275e-25,,
0.1718058482431918,1,4.395314254878964e-216,1.1241989314811616e-215,0.39097299702002225
0.1718058482431918,2,4.918112543800204e-25,8.042359851944647e-25,0.611526048863755
0.1718058482431918,0,4.918112543800204e-25,,
0.17794177139473438,1,2.2708313937834865e-215,5.817261756211059e-215,0.3903608757778403
0.17794177139473438,2,5.447372765900054e-25,8.896448059933774e-25,0.6123087246957529
0.17794177139473438,0,5.447372765900054e-25,,
0.18407769454627695,1,1.1630547161502751e-214,2.9842899166841133e-214,0.38972578020923704
0.18407769454627695,2,6.052755362585592e-25,9.872077543316158e-25,0.6131187013095922
0.18407769454627695,0,6.052755362585592e-25,,
0.19021361769781953,1,5.903718000377236e-214,1.5174016851073384e-213,0.38906757902800254
0.19021361769781953,2,6.746471627518504e-25,1.0988527594220495e-24,0.6139559253659121
0.19021361769781953,0,6.746471627518504e-25,,
0.19634954084936207,1,2.9692934732536488e-213,7.645209656437168e-213,0.3883861406931518
0.19634954084936207,2,7.542878610172907e-25,1.2268427332291501e-24,0.6148203356366171
0.19634954084936207,0,7.542878610172907e-25,,
0.20248546400090464,1,1.479369238136245e-212,3.8159413644106277e-212,0.38768133387309883
0.20248546400090464,2,8.458878594794122e-25,1.373837197377261e-24,0.6157118624348384
0.20248546400090464,0,8.458878594794122e-25,,
0.2086213871524472,1,7.299480377775594e-212,1.8863996017311333e-211,0.3869530279309284
0.2086213871524472,2,9.514396136376179e-25,1.5429657245634e-24,0.6166304270348187
0.2086213871524472,0,9.514396136376179e-25,,
