N,M_base,M_comparison,z_base_re,z_base_im,z_comparison_re,z_comparison_im,displacement_abs
12,12,24,0.09851927445999316,-0.06899031612546,0.09747005939496503,-0.06478956475343876,0.004329799572984906
12,12,24,0.09851927445999316,0.06899031612546,0.09747005939496503,0.06478956475343876,0.004329799572984906
12,12,24,0.12184464719067269,-0.06629990365663792,0.12189548035375325,-0.06632348651853175,5.603714699981165e-05
12,12,24,0.12184464719067269,0.06629990365663792,0.12189548035375325,0.06632348651853175,5.603714699981165e-05
12,12,24,0.1501457384160561,0.0,0.1463516492281282,0.0,0.003794089187927896
