map_label,N,M,rho,r_tau_sampled,r,q_out,q_gap,q_star,Phi_sampled,B_out_diagnostic,B_in_diagnostic,Bmat_D_M_set_to_1,kappa_T_diagnostic,transported_Bmat_diagnostic,epsilon_schur_diagnostic,status,geometry_status
blaschke_mu_0p3,30,36,2.725,2.2926584027370747,2.47367,0.9077688073394494,0.9268246786099499,0.9268246786099499,4.763076532415687,110779.54999401607,1.2978120973576048,3.038536674049522e-05,1.362359958344897,4.139580696687549e-05,110780.84784750923,sampled_schur_diagnostic_not_theorem_certified,diagnostic sampling; certified constants are loaded in Phase 2
blaschke_mu_0p3,40,46,2.725,2.2926584027370747,2.47367,0.9077688073394494,0.9268246786099499,0.9268246786099499,4.763076532415687,52527.2313010467,0.6069986296114301,1.3655322541121653e-05,1.3650805136564883,1.8640614708579368e-05,52527.83831831693,sampled_schur_diagnostic_not_theorem_certified,diagnostic sampling; certified constants are loaded in Phase 2
blaschke_mu_0p3,50,56,2.725,2.2926584027370747,2.47367,0.9077688073394494,0.9268246786099499,0.9268246786099499,4.763076532415687,23923.56207439652,0.2838988302700577,5.843739085817482e-06,1.366605255701235,7.9860845476249e-06,23923.84598121287,sampled_schur_diagnostic_not_theorem_certified,diagnostic sampling; certified constants are loaded in Phase 2
blaschke_mu_0p3,60,66,2.725,2.2926584027370747,2.47367,0.9077688073394494,0.9268246786099499,0.9268246786099499,4.763076532415687,10596.75965555859,0.1327820886190503,2.438434681798507e-06,1.3675703922739044,3.3347310743214777e-06,10596.892440981941,sampled_schur_diagnostic_not_theorem_certified,diagnostic sampling; certified constants are loaded in Phase 2
blaschke_mu_0p3,80,86,2.725,2.2926584027370747,2.47367,0.9077688073394494,0.9268246786099499,0.9268246786099499,4.763076532415687,1964.9556227240887,0.02904633091070379,4.0718100835266924e-07,1.3687111657042261,5.573131925950042e-07,1964.9846696123125,sampled_schur_diagnostic_not_theorem_certified,diagnostic sampling; certified constants are loaded in Phase 2
blaschke_mu_0p3,100,106,2.725,2.2926584027370747,2.47367,0.9077688073394494,0.9268246786099499,0.9268246786099499,4.763076532415687,346.504380255064,0.006353939361464917,6.577290631463889e-08,1.3693559288813313,9.006651922170711e-08,346.510734284492,sampled_schur_diagnostic_not_theorem_certified,diagnostic sampling; certified constants are loaded in Phase 2
