N,M,m,name,error,source
30,30,0,alpha^14,0.0068298303468842,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
40,40,0,alpha^14,0.001817765575098,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
50,50,0,alpha^14,2.3526518755888585e-05,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
60,60,0,alpha^14,1.1342057906713338e-11,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
70,70,0,alpha^14,5.074764384438643e-19,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
80,80,0,alpha^14,6.2696282468558985e-27,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
90,90,0,alpha^14,1.0153357710120467e-32,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
100,100,0,alpha^14,5.2097413659509895e-40,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
30,30,0,alpha^15,0.0062090957342282,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
40,40,0,alpha^15,0.001860387520854,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
50,50,0,alpha^15,1.0603722937587708e-05,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
60,60,0,alpha^15,1.4520007895515387e-11,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
70,70,0,alpha^15,1.505340590510909e-18,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
80,80,0,alpha^15,4.89099326549581e-26,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
90,90,0,alpha^15,1.3248168682946778e-31,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
100,100,0,alpha^15,1.6708618154371189e-37,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
30,30,0,alpha^16,0.008150444450136,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
40,40,0,alpha^16,0.0015677799028775,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
50,50,0,alpha^16,0.0002635566244515,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
60,60,0,alpha^16,4.504574317419788e-09,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
70,70,0,alpha^16,1.5248113156973954e-15,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
80,80,0,alpha^16,6.156778431168237e-23,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
90,90,0,alpha^16,2.3962252755812903e-30,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
100,100,0,alpha^16,3.771883179849468e-35,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
30,30,0,alpha^17,0.0153811467148731,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
