N,M,map_name,name,family,power,multiplicity,target,target_float,target_real_float,target_imag_float,target_abs_float,error,error_float,selected,gram_error,gram_error_float
20,30,blaschke_mu_0p3,alpha^1,alpha,1,1,0.65,0.65,0.65,0.0,0.65,0.00000000000000209756842461945806914094811159973392238365557309180898768561767048466437183019186045231195,2.097568424619458e-15,['0.64999999999999790243157538054193085905188840026607761634442690819101231438232951533562817'],1.21551741214991112756260901046362971555303114826680899146484674681066139687312714424934771e-178,1.2155174121499112e-178
20,30,blaschke_mu_0p3,alpha^2,alpha,2,1,0.4225,0.4225,0.4225,0.0,0.4225,0.00000000000995926711486323295806739352304342109182519339676852768013487873595619309221350840959372156,9.959267114863233e-12,['0.422499999990040732885136767041932606476956578908174806603231472319865121264043806907786492'],1.21551741214991112756260901046362971555303114826680899146484674681066139687312714424934771e-178,1.2155174121499112e-178
20,30,blaschke_mu_0p3,mu^1,mu,1,2,0.3,0.3,0.3,0.0,0.3,0.0000000000104929080272610443366856340662618067805469882954476649366987017955208438029237521419358367,1.0492908027261045e-11,"['0.300000000002872687596441320007363524764165208352450285486328564597559590527234150448004491', '0.299999999989507091972738955663314365933738193219453011704552335063301298204479156197076248']",1.21551741214991112756260901046362971555303114826680899146484674681066139687312714424934771e-178,1.2155174121499112e-178
20,30,blaschke_mu_0p3,alpha^3,alpha,3,1,0.274625,0.274625,0.274625,0.0,0.274625,0.000000000141032149316441927736936454962276223043650408430681440232415238005739215593838073874652091,1.4103214931644192e-10,['0.274624999858967850683558072263063545037723776956349591569318559767584761994260784406161926'],1.21551741214991112756260901046362971555303114826680899146484674681066139687312714424934771e-178,1.2155174121499112e-178
20,30,blaschke_mu_0p3,alpha^4,alpha,4,1,0.17850625,0.17850625,0.17850625,0.0,0.17850625,0.0000000687094621752301894850003375629313923216274381967403292433188589424116864329906731410655752,6.870946217523018e-08,['0.178506318709462175230189485000337562931392321627438196740329243318858942411686432990673141'],1.21551741214991112756260901046362971555303114826680899146484674681066139687312714424934771e-178,1.2155174121499112e-178
20,30,blaschke_mu_0p3,alpha^5,alpha,5,1,0.1160290625,0.1160290625,0.1160290625,0.0,0.1160290625,0.00000675188294764347651119833991991476278369348870593816277450347539765548517608003217340612566,6.751882947643476e-06,['0.116035814382947643476511198339919914762783693488705938162774503475397655485176080032173406'],1.21551741214991112756260901046362971555303114826680899146484674681066139687312714424934771e-178,1.2155174121499112e-178
20,30,blaschke_mu_0p3,mu^2,mu,2,2,0.09,0.09,0.09,0.0,0.09,0.000756900555253883572828062023234625284453581196784663835878863387604408080614422199954796028,0.0007569005552538836,"['0.0898770220476044308457705826833530993339924126422804646198531132301018294663691708299570205', '0.089243099444746116427171937976765374715546418803215336164121136612395591919385577800045204']",1.21551741214991112756260901046362971555303114826680899146484674681066139687312714424934771e-178,1.2155174121499112e-178
20,30,blaschke_mu_0p3,alpha^6,alpha,6,1,0.075418890625,0.075418890625,0.075418890625,0.0,0.075418890625,0.00286153723200624058370197739014736871620434640253406522666082915826083210681136459402113661,0.0028615372320062405,['0.0782804278570062405837019773901473687162043464025340652266608291582608321068113645940211366'],1.21551741214991112756260901046362971555303114826680899146484674681066139687312714424934771e-178,1.2155174121499112e-178
20,30,blaschke_mu_0p3,alpha^7,alpha,7,1,0.04902227890625,0.04902227890625,0.04902227890625,0.0,0.04902227890625,0.00583704018993005983805415886048914001938936881379705730653752762799247701042939819574503708,0.0058370401899300595,['0.0548593190961800598380541588604891400193893688137970573065375276279924770104293981957450371'],1.21551741214991112756260901046362971555303114826680899146484674681066139687312714424934771e-178,1.2155174121499112e-178
20,30,blaschke_mu_0p3,alpha^8,alpha,8,1,0.0318644812890625,0.0318644812890625,0.0318644812890625,0.0,0.0318644812890625,0.020350132831290117565686006629137119240548536076403534098683147762836105955197200950708056,0.020350132831290117,['(0.0366745517396041667877679252827770507781811566452089817948641531866889121140296237137039723 + 0.0197734956067959269475868877118721843512132448430922260909817931820310889845308749057735947j)'],1.21551741214991112756260901046362971555303114826680899146484674681066139687312714424934771e-178,1.2155174121499112e-178
20,30,blaschke_mu_0p3,mu^3,mu,3,2,0.027,0.027,0.027,0.0,0.027,0.0267548445670456194255673581506169507167809336419185285778530108749094849675950900830202184,0.02675484456704562,"['(0.0366745517396041667877679252827770507781811566452089817948641531866889121140296237137039723 - 0.0197734956067959269475868877118721843512132448430922260909817931820310889845308749057735947j)', '(0.0450332732107086260821904508238851273724517849165263672869982119520777966373835683429220711 - 0.019764178837348874262015831334832234225990275987408459855073310743601050593799156998424541j)']",1.21551741214991112756260901046362971555303114826680899146484674681066139687312714424934771e-178,1.2155174121499112e-178
20,30,blaschke_mu_0p3,alpha^9,alpha,9,1,0.020711912837890625,0.020711912837890624,0.020711912837890624,0.0,0.020711912837890624,0.0292911666431675798595227868272673310953006384430186685719387011617721170892714214905752385,0.02929116664316758,['(0.00793096594660879646734963451583366437617646735681800672589937290893372137550445397279653196 + 0.0263556415190381293009266666073270453362701276779871878407236711772023533643835686213667616j)'],1.21551741214991112756260901046362971555303114826680899146484674681066139687312714424934771e-178,1.2155174121499112e-178
20,30,blaschke_mu_0p3,alpha^10,alpha,10,1,0.01346274334462890625,0.013462743344628906,0.013462743344628906,0.0,0.013462743344628906,0.0269299164696308073754738260225491760068875562123177325381666879691692389785259899826859317,0.026929916469630808,['(0.00793096594660879646734963451583366437617646735681800672589937290893372137550445397279653196 - 0.0263556415190381293009266666073270453362701276779871878407236711772023533643835686213667616j)'],1.21551741214991112756260901046362971555303114826680899146484674681066139687312714424934771e-178,1.2155174121499112e-178
20,30,blaschke_mu_0p3,alpha^11,alpha,11,1,0.0087507831740087890625,0.00875078317400879,0.00875078317400879,0.0,0.00875078317400879,0.0308430658777977813434171884084715346685434875892940650571276743779594981402415048007480727,0.030843065877797782,['(0.012358348983290404678249825108811545440081796833975837676629580115274325061910066313773617 - 0.0306313594486741006931443233998811339488199899711517062896243199753621276601691850675197477j)'],1.21551741214991112756260901046362971555303114826680899146484674681066139687312714424934771e-178,1.2155174121499112e-178
20,30,blaschke_mu_0p3,mu^4,mu,4,2,0.0081,0.0081,0.0081,0.0,0.0081,0.0418890132990925982813202087361286456290108817878283180977910096306369332735093366592433088,0.0418890132990926,"['(0.012358348983290404678249825108811545440081796833975837676629580115274325061910066313773617 + 0.0306313594486741006931443233998811339488199899711517062896243199753621276601691850675197477j)', '(0.0450332732107086260821904508238851273724517849165263672869982119520777966373835683429220711 + 0.019764178837348874262015831334832234225990275987408459855073310743601050593799156998424541j)']",1.21551741214991112756260901046362971555303114826680899146484674681066139687312714424934771e-178,1.2155174121499112e-178
20,30,blaschke_mu_0p3,alpha^12,alpha,12,1,0.005688009063105712890625,0.005688009063105713,0.005688009063105713,0.0,0.005688009063105713,0.994311990936894287109375,0.9943119909368943,['1.0'],1.21551741214991112756260901046362971555303114826680899146484674681066139687312714424934771e-178,1.2155174121499112e-178
20,30,blaschke_mu_0p3,alpha^13,alpha,13,1,0.00369720589101871337890625,0.0036972058910187135,0.0036972058910187135,0.0,0.0036972058910187135,nan,,[],1.21551741214991112756260901046362971555303114826680899146484674681066139687312714424934771e-178,1.2155174121499112e-178
20,30,blaschke_mu_0p3,mu^5,mu,5,2,0.00243,0.00243,0.00243,0.0,0.00243,nan,,[],1.21551741214991112756260901046362971555303114826680899146484674681066139687312714424934771e-178,1.2155174121499112e-178
20,30,blaschke_mu_0p3,alpha^14,alpha,14,1,0.0024031838291621636962890625,0.0024031838291621636,0.0024031838291621636,0.0,0.0024031838291621636,nan,,[],1.21551741214991112756260901046362971555303114826680899146484674681066139687312714424934771e-178,1.2155174121499112e-178
20,30,blaschke_mu_0p3,alpha^15,alpha,15,1,0.001562069488955406402587890625,0.0015620694889554065,0.0015620694889554065,0.0,0.0015620694889554065,nan,,[],1.21551741214991112756260901046362971555303114826680899146484674681066139687312714424934771e-178,1.2155174121499112e-178
20,30,blaschke_mu_0p3,alpha^16,alpha,16,1,0.00101534516782101416168212890625,0.0010153451678210142,0.0010153451678210142,0.0,0.0010153451678210142,nan,,[],1.21551741214991112756260901046362971555303114826680899146484674681066139687312714424934771e-178,1.2155174121499112e-178
20,30,blaschke_mu_0p3,mu^6,mu,6,2,0.000729,0.000729,0.000729,0.0,0.000729,nan,,[],1.21551741214991112756260901046362971555303114826680899146484674681066139687312714424934771e-178,1.2155174121499112e-178
20,30,blaschke_mu_0p3,alpha^17,alpha,17,1,0.0006599743590836592050933837890625,0.0006599743590836592,0.0006599743590836592,0.0,0.0006599743590836592,nan,,[],1.21551741214991112756260901046362971555303114826680899146484674681066139687312714424934771e-178,1.2155174121499112e-178
20,30,blaschke_mu_0p3,alpha^18,alpha,18,1,0.000428983333404378483310699462890625,0.0004289833334043785,0.0004289833334043785,0.0,0.0004289833334043785,nan,,[],1.21551741214991112756260901046362971555303114826680899146484674681066139687312714424934771e-178,1.2155174121499112e-178
