source,N,rho,r,coherent_prefactor,scaled_prefactor,whole_ellipse_fallback,selected_prefactor,selection,prefix_terms,boundary_cells,old_B_out,selected_B_out,improvement,status
complete resolved-response certificate,600,2.725,2.473669807791324,2.12513094458366,357.6580646142038,12.948435637965657,2.12513094458366,"cellwise minimum of coherent packet, scaled Legendre, and whole-ellipse fallback certificates",24,65536,2.3584001910897947e-20,2.8540338522337406e-23,826.3392493554229,interval-certified coherent resolved response with independent scaled-Legendre and whole-ellipse fallbacks
promoted resolved-response candidate row,600,2.725,2.473669807791324,2.12513094458366,357.6580646142038,12.948435637965657,2.12513094458366,"cellwise minimum of coherent packet, scaled Legendre, and whole-ellipse fallback certificates",24,65536,2.3584001910897947e-20,2.8540338522337406e-23,826.3392493554229,authoritative selected resolved-response row with the certified unresolved-input intersection and best matrix aggregation
